#Name	PubChem	MP
N-(5-aminonaphthalen-1-yl)acetamide	2749128	166
neotran	11155	70.5
"5-[(4-Methoxyphenyl)hydrazono]-2-thioxodihydropyrimidine-4,6(1H,5H)-dione"	5397361	246
benzylhydrazine	11157	26
4-aminobenzaldehyde	11158	71.5
"butane, 1,1'-sulfonylbis-"	69014	45
octylbenzene	16607	-36
propatyl nitrate	66261	51.5
"2,2'-[Oxybis(ethane-2,1-diyloxy)]diethanol"	8200	-6
"ethyl 3,5-dimethyl-1H-pyrazole-4-carboxylate"	23644301	119
"2,2,4,4-Tetrachloro-9,9-dimethyl-7,11-dioxa-1,3,5-triaza-2lambda~5~,4lambda~5~,6lambda~5~-triphosphaspiro[5.5]undeca-1,3,5-triene"	14904689	154.35
dimethyl diethoxysilane	62322	-87
dodine	8204	136
"1,3,4-triphenylazetidin-2-one"	436302	134
oxyphenbutazone	4641	96
"N-Acetyl-2,3-dimethyl-indole"	524512	74
"morpholine, 4,4'-dithiobis-"	7648	124.5
1-tridecanol	8207	32.5
1-bromo-n-tetradecane	8208	5.6
D-Sorbose	107428	95
1-tetradecanol	8209	39.5
"(5Z,7E)-5,7-bis(phenylmethylidene)-5,5a,6a,7,11b,11c-hexahydrodiindeno[2,1-b:1',2'-d]furan"	2749130	215
diethyl suberate	16301	5.9
"N-(2,3-diphenylbenzo[f]quinoxalin-7-yl)acetamide"	2749132	249
"2-(4a-methyl-4a,8a-dihydroquinolin-2(1H)-ylidene)-1H-indene-1,3(2H)-dione"	2755370	203
"2,4,2',4'-tetramethyl-biphenyl"	520958	41
"N-methyl-1,2,3,4-tetrahydrocarbazole"	138719	53
"3-heptanol, 5-methyl-"	86782	-91.2
"4h-thieno[2,3-b]thiopyran-2-sulfonamide, 5,6-dih"	13763152	200
"naphthalene-2,6-diamine"	2749139	213
Glycylglycine	11163	257.5
"phenyl 4,7,7-trimethylbicyclo[2.2.1]hept-2-ene-2-carboxylate"	2750896	64
3-iodo-1-propene	11166	-99
Isothiocyanatomethane	11167	35
octamethylcyclotetrasiloxane	11169	17.5
"2,3-dimethyl-1,4-naphthoquinone"	16615	127
benzofurazan	67501	54
"2-hexene, 5-methyl-, (e)-"	18849	-124.3
diclomezine	93341	251.5
"2,6-dimethylacetanilide"	16616	183
"2,1,3-benzothiadiazole"	67502	43
5-nitroindoline	36219	93
2'-ethoxyacetophenone	578482	40
4-azabenzimidazole	67504	148
"dibenzo[b,e]thiepin-11(6h)-one"	73741	87
1-isoquinolinamine	73742	123
6-bromoindole	676493	92
"benzamide, 3,5-dinitro-N-(2-pyridinylmethyl)-"	510150	120
4-bromoindole	676494	17
4-bromoisoquinoline	73743	41.5
1-bromohexadecane	8213	18
isopropyl-beta-d-thiogalactoside	656894	112
"2,5-cyclohexadiene-1,4-dione"	4650	115.7
"1,10-dibromodecane"	221483	28
"2,1,3-benzothiadiazole, 4,5,7-trichloro-"	16117	122
1-octadecene	8217	17.5
Medmain	246532	100
1-bromooctadecane	8218	28.2
cis-9-octadecenylamine	8219	25
isodrin	4655	241
"1,3-dimethyl-5-propylbenzene"	520962	-59
4'-hydroxy-3'-nitroacetophenone	138723	132
"12,12,14,14-Tetramethyldinaphtho[2,1-f:1',2'-h][1,3,5,2,4]trioxadisilonine"	10598019	173
3-chloro-4-nitrotoluene	123478	24
"1,2,4-triazole,1-(4-butylbenzyl)-"	23274233	37.5
"1,3,5-trimethyl-2-ethylbenzene"	520964	-16
"Acenaphtho(1,2-b)pyrazine"	164565	146
"1-octanamine, n-octyl-"	3094	35.5
2-octene (trans)	8126	-87.7
"1,4-bis(2-chloroethyl)benzene"	2749146	47
4-chloro-3-nitropyridine	2735781	32
hexadecamethylcyclooctasiloxane	11170	31.5
"1,4-bis(2-bromoethyl)benzene"	2749147	73
"l-cysteine, s-(carboxymethyl)-"	1080	206
"1,4-bis(2-iodoethyl)benzene"	2749148	111
"1,4-bis(2-bromoethyl)-2,5-dinitrobenzene"	2749149	123
"urea, 1,3-bis(1-naphthyl)-2-thio-"	3034003	207.5
"2-Amino-1,3-thiazol-4(5H)-one"	11175	250
2-(2-chlorophenoxy)ethylamine	2735788	40
"2-[N-(2,4-dinitroanilino)-C-methyl-carbonimidoyl]phenol"	6831891	259
5-chloroindole	87110	71
6-chloroindole	87111	90
"1,2-dihydroxy-4-nitrobenzene"	3505109	175
chromone-3-carboxaldehyde	87112	152
ethyl hippurate	226558	59
"(2E)-2-(1,3-benzothiazol-2-yl)-3-(2-hydroxyphenyl)prop-2-enamide"	6831896	210
3-tridecanone	73751	31
"cis-1,2-dimethylcyclohexane"	16628	-50
"1,2-bis(chlorodimethylsilyl)ethane"	83552	37
2'-Deoxyuridine	1263358	163
1-octadecanol	8221	59.5
"1,2,3-triazole"	67516	24
4-pyridinemethaneamine	77317	-7.6
"9,10-anthracenedione, 2-(1,1-dimethylethyl)-"	66532	99
eicosane	8222	36.8
Ergotamine	8223	213.5
3-(nitromethyl)androst-2-en-17-ol	5030586	129
"2,3,4,5,6-pentafluorobenzophenone"	73755	37
1h-tetrazole	67519	157
Methylergonovine	8226	172
2-mercaptobenzothiazole	697993	181
"5-methyl-3-phenyl-1,2,4-oxadiazole"	98806	35
paclitaxel	4666	216.5
"1,5-bis(phenylcarbonyl)-1,2,3,5,6,7-hexahydropyrrolo[2,3-f]indole"	2749151	294
2-acetylhydrazinecarboxamide	266149	165
6-chloropiperonal	140014	116
"Diallyl oxydiethane-2,1-diyl biscarbonate"	8879	-4
"Bicyclo(4.2.0)octa-1,3,5-triene-7,8-dione"	138739	131
"1,1'-benzene-1,3-diylbis(2-bromoethanone)"	2749155	91
"1,2,4-trichloro-5-iodobenzene"	252788	104
"(1E,1'E)-1,1'-{benzene-1,3-diylbis[(1E,2Z)-2-(phenylhydrazono)eth-1-yl-1-ylidene]}bis(2-phenylhydrazine)"	2749156	165
"2,2'-benzene-1,3-diyldiquinoxaline"	2749157	203
"4,5-dichloroimidazole"	140018	181
"(2Z,2'Z)-1,1'-benzene-1,4-diylbis(2-{[4-(dimethylamino)phenyl](oxido)imino}ethanone)"	2749159	133
endrocide (endox) (coumatetralyl)	54678504	172
aminorex	16630	136.5
"1,2,3,5,6-pentathiepane"	67521	60.5
choral hydrate	2707	57
methasulfocarb	93362	137
n-isopropylacrylamide	16637	64
methyl heptafluorobutyrate	67741	-86
cyclotetradecane	67524	54
4-fluorophenyl 2-thienyl ketone	68479	97
mofebutazone	16639	102.5
cyclopentadecane	67525	61.3
5'-chloro-4'-fluoro-2'-nitroacetanilide	2773811	111
cyclohexadecane	67526	61
2-fluoro-4-iodotoluene	123492	23
palmidrol	4671	98.5
"4,4'-dichlorodiphenyl ether"	17126	30
Ethyl bis(4-chlorophenyl)(hydroxy)acetate	10522	36
"dimethyl 3,5-dimethyl-1H-pyrazole-1,4-dicarboxylate"	2753111	90
"3,3'-dimethoxybenzil"	123493	82
"(2,4-Dinitro-phenyl)-p-tolyl-amine"	256356	140
dl-panthenol	4678	68
"5,5,5-trifluoro-dl-leucine"	164587	274
"(2E,2'E)-3,3'-benzene-1,4-diylbisprop-2-enehydrazide"	2749164	259
"borane, difluorophenyl-"	136201	-36.2
procymidone	36242	166
1-(pentafluorobenzoyl)imidazole	100829	56
"[(1E,3Z)-1,2,3,4-tetrabromo-4-phenylbuta-1,3-dien-1-yl]benzene"	4044260	236
"5-Ethyl-1,3,4-thiadiazol-2-amine"	26444	201.35
"4,4-dimethylcyclohexene"	26445	-74
cloxyfonac	22883	141
"2,4-difluorobenzaldehyde"	73770	3
3-amino-4-methoxybenzamide	87135	158
1-monochloropinacoline	83572	-13
4-methoxy-1-methyl-2-nitro-benzene	87137	17
"5-Methyl-2-trifluoromethyl-4H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one"	518310	215
sakuranetin	348130	152
N-Hydroxy-N-phenylbenzamide	67536	119
fenclorim	77338	96.9
butyl butyrate	7983	-92
papaverine	4680	147.5
2-chloro-8-methyl-quinoline	21540195	61
forchlorfenuron	93379	167
fenoxaprop-ethyl	47938	84.5
vamidothion	560193	43
n(1)-acetylphenylhydrazine	8247	129.5
4-chlorophenol	4684	42.8
"5,6,7-trimethoxyflavone"	442583	166
"ethane, 1,2-dichloro-1,1,2-trifluoro-"	9631	-78
phenformin	8249	176.5
"1,4-Dichlorobenzene"	4685	55
2-amino-5-chloro-3-iodopyridine	11076010	97
"tetramethyl 1,4,5,8-tetrahydroanthracene-2,3,6,7-tetracarboxylate"	2752906	209
nonanamide	70709	99.5
Vardenafil	110634	192
zopolrestat	1613	197
Tadalafil	110635	301.5
6-chloro-7-methylchromone	688707	171
chlomethoxynil	36250	113.5
"(1R,2R,3R,6S,7S,8S)-1,8,9,10,11,11-Hexachlorotetracyclo[6.2.1.1~3,6~.0~2,7~]dodeca-4,9-diene"	12310947	104
"2,6-dinitro-4-methylaniline"	22892	171.5
"2,4-dimethyl-1-pentene"	16657	-124.1
Ethyl {2-amino-6-[(4-fluorobenzyl)amino]pyridin-3-yl}carbamate	53276	114
"1,4-naphthalenedione, 5,8-dihydroxy-"	10141	232
"11,14-dihydroxy-7-methoxy-18,20-epoxykaur-16-en-15-one"	5245443	288
"2,5-dimethoxybenzenesulfonamide"	209044	147
"2,3-Dichloroquinoxaline"	16659	152
1-(2-methylbenzyl)-3-phenylthiourea	2752349	163
Propylene	8252	-185.2
"7-(hydroxymethyl)-7,10,10,13-tetramethyldecahydro-4H-1,12-methanocyclopenta[d]furo[4',3':1,8a]naphtho[2,3-e][1,3]dioxin-14(11aH)-one"	5245445	220
methazole	4690	123
isobutene	8255	-140.4
tribromoacetaldehyde	8256	-57.5
"benzaldehyde, 5-hydroxy-2-nitro-"	39211	167
2-methyl-3-buten-2-ol	8257	-28
"N-methyl-1,3-propanediamine"	80511	-72
"2,2,2-trichloroethanol"	8259	19
patulin	4696	111
3-iodopyridine	70714	55
"3-amino-1,2,4-triazine"	70715	175.5
4-(4-nitrobenzyloxy)benzaldehyde	735836	130
n-methylsuccinimide	70717	71
(2E)-3-(2-furyl)-1-(4-hydroxyphenyl)prop-2-en-1-one	300425	163
o-mercaptophenol	70718	5.5
"3,4'-dihydroxyflavone"	688715	286
3-hydroxy-2-methylpyridine	70719	168
"N,N-di-n-butyl-1,3-propylenediamine"	1626	-70
"6-phenyl-6,7-dihydroisoquinolin-8(5H)-one"	2752351	83
"beta-d-glucopyranoside, phenyl"	313297	177
"1,3-diacetylindole"	87151	146
3-methyloctane	16664	-107.6
"(1R,4S,5S)-4-chloro-2,2-dimethyl-8-oxabicyclo[3.2.1]octan-3-ol"	73989272	72
4-methyloctane	16665	-113.3
5-(trifluoromethoxy)isatin	2732752	171
Menthol	16666	43
N-(chloromethyl)phthalimide	87154	133
Dodecyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside	114880	150
"1,3-bis(1,2-dibromoethyl)benzene"	117280	65
N-[3-(benzyloxy)-4-methoxybenzyl]benzamide	2752357	143
1-methoxynaphthalene	16668	5
3-(trifluoromethyl)benzhydrol	2777404	63
ethyltrichlorosilane	8260	-105.6
"2,2-bis(ethylsulfonyl)propane"	8262	125.8
3-chloro-4-(trifluoromethoxy)aniline	2773843	30
perfluorocyclobutane	8263	-40.1
"2-mercapto-1,3,4-thiadiazole"	3034302	143
N-fmoc-L-norleucine	7009636	141
"sulfone, phenyl, methyl-"	18369	86
(1S)-camphorsulfonylimine	719802	227
4-chloro-3-(trifluoromethyl)phenol	80520	44
dicofol	8268	77.5
"benzofurazan, 1-oxide"	68075	70
4'-phenoxyacetophenone	236783	50
p-hydroxymethylacetophenone	585264	54
"4-hydroxy-3-{(4Z)-4-[(2-hydroxynaphthalen-1-yl)methylidene]-5-oxo-4,5-dihydro-1H-pyrazol-3-yl}-1-methylquinolin-2(1H)-one"	6755906	285
"benzaldehyde, 2-chloro-6-fluoro-, oxime"	2755782	133
1-fluoro-3-iodobenzene	70725	-42
medroxyprogesterone	541103	214.5
glutarimide	70726	156
thiocarbanilide	700999	154.5
3-amino-2-chloropyridine	80528	78
5-(2-methoxyphenyl)-1h-tetrazole	858908	155
"3-bromo-2-ethoxy-4-methyl-3,4-dihydro-2H-pyran-6-carboxamide"	3906202	131
"disiloxane, 1,3-diethenyl-1,1,3,3-tetramethyl-"	75819	-99.7
amitrole	1639	159
"5-(3,4-dihydroisoquinolin-2(1H)-ylmethyl)-2-methoxyphenol"	2752363	129
"3-amino-5,6-dimethyl-1,2,4-triazine"	87163	211
"Acenaphthene, 5-benzoyl-"	145757	101
3-ccl3 hydrochlorothiazide	71656	301.5
4-bromo-1-fluoro-2-nitrobenzene	2736328	19
"2-[(2,2-dimethoxyethyl)amino]-1,2-diphenylethanol"	2752367	145
octafluoronaphthalene	67564	87.5
"5h-dibenzo(a,d)cyclohepten-5-one"	16679	88.5
4'-chloro-3'-(trifluoromethyl)acetophenone	2773851	62
mephobarbital	8271	176
"1,2-cyclohexanediol-cis"	13601	100
"4,4'-(1,1-Dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2,6-dibromophenol)"	8272	204
"2-amino-3,5-dibromopyridine"	98851	104
"1,3,5-trifluoro-2-nitrobenzene"	67567	3.5
2-methyl-n-oxidepyridine	13602	49
tiadenol	23403	69.5
"4,4'-(1,1-Dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2-bromo-6-methylphenol)"	8273	241
p-formyl_benzamide	11744790	75
phenallymal	8274	156.5
talbutal	8275	109
2-bromo-4'-(1-pyrrolidinyl)acetophenone	3681785	121
"peroxide, diacetyl"	8040	30
Alizapride	43008	139
"2,5-Di(Chloromethyl)-p-xylene"	80530	132
"4,6-dichloro-2-(methylthio)pyrimidine"	80531	40
cyclooctene	13609	-12
2-amino-3-benzyloxypyridine	90334	93
methyl 2-naphthoate	137605	77
5-hydroxytryptamine	5202	167.5
julocrotine	12304733	108.5
sesamin	5204	124
6-methyl-2-pyridinemethanol	70736	33
"3,4-bis(1,3-benzodioxol-5-ylmethyl)tetrahydro-2*"	287685	131.5
6-methylpyridine-2-carboxaldehyde	70737	31
Swainsonine	10975968	143.5
"spirostan-3-ol, (3.beta.,5.beta.,25s)-"	219836	200.5
"benzamide, N-methyl-3,5-dinitro-"	351138	149
m-aminobenzamide	1645	115
2-acetylbiphenyl	11159903	56
lupeol	521518	216
bis (2-butoxyethyl) phthalate	8345	-55
dienochlor	16686	122
diethyl phenylmalonate	66514	16
"ethyl 4-{[5-(4-methoxyphenyl)-4,6-dioxo-4,5,6,6a-tetrahydro-3aH-pyrrolo[3,4-d]isoxazol-3-yl]carbonyl}-5-methyl-1-(4-methylphenyl)-1H-pyrazole-3-carboxylate"	2753860	221
"1,3,5-trichloro-2,4,6-trifluorobenzene"	67573	63
bensultap	87176	83.5
4-chloro-3-(trifluoromethyl)aniline	67574	37
6-hydroxycholest-4-en-3-one	4995300	155
2-fluoroanisole	67576	-39
tetrakis(dimethylsiloxy)silane	4347346	-60
"2,4,6-trichloropyrimidine"	77378	23
"(3R-cis)-tetrahydro-3-trichloromethyl-1h,3h-pyrrolo[1,2-c]oxazol-1-one"	10944680	110
"2,2-diethyl-1,3-propanediol"	8284	61.5
2-Fluorobiphenyl	67579	73.5
2-methyldecane	23415	-48.9
pentaerythritol	8285	258
ethyl undecanoate	12327	-15
"Tetramethyl-1,3-cyclobutanedione"	13617	114
triphenylphosphate	8289	50.5
"2,3,6-trichlorophenol"	13618	58
2-amino-5-(trifluoromethyl)pyridine	735862	47
p-bromobenzaldehyde	70741	57
"pyrimidine, 2,4-dichloro-5-methyl-"	74508	26
"2,3,5-trichlorophenol"	13619	62
Sibutramine	5210	191.5
D-phenylalaninol	853475	92
Sildenafil	5212	189.5
"2,7-dibromofluorene"	140073	166
4-amino-3-nitrobenzophenone	596970	140
"4-chloro-2,6-dimethylphenol"	70747	82
Sulfadiazine	5215	259
"5-methyl-[1,3,5]dithiazinane"	80549	65
simazine	5216	226
3-chloro-2-hydroxypyridine	582210	181
simfibrate	5217	52
3-amino-4-bromo-1h-pyrazole	140079	136
"ethyl 6-amino-5-(1,3-benzothiazol-2-yl)-4-[4-(dimethylamino)phenyl]-2-methyl-4H-pyran-3-carboxylate"	2753776	215
octachloronaphthalene	16692	197.5
"2,4-dichloroacetophenone"	16693	34
"2,4-dimethylstyrene"	16694	-64
"pyrido[2,3-b]pyrazine"	67580	143
"trans-1,3,5-hexatriene"	16695	-12
"silanetriamine,n,n,n',n',n'',n'',1-heptamethyl-"	77383	-11
4-hydroxy-7-trifluoromequinoline	67582	267.5
bis(dimethylamino)dimethylsilane	77384	-98
4-hydroxy-4'-iodobiphenyl	2064030	118
dioxacarb	23421	114.5
"1,2-dimethyl-3-ethylbenzene"	13621	-49.5
"1,3-dibenzoylbenzene"	77388	99
3-methoxycatechol	13622	42
"3-benzoyl-1,1,1-trifluoroacetone"	67589	39
2-aminobenzimidazole	13624	230
"2,3-Diphenylquinoxaline"	74311	126.5
s-orthophenylenethiocarbamate	13625	139
o-xylylene dibromide	66665	94
N-benzyloxycarbonyl-l-phenylalaninol	853481	94
"1,3-dimethyl-5-ethylbenzene"	13627	-84.3
5-amino-2-methoxyphenol	74314	131
"1,1-dibromo-2,2-dimethylpropane"	13108430	14
hydroxyacetone	8299	-17
"4,6-Dichloro-2-(methylsulfanyl)-5-phenylpyrimidine"	623101	113.85
"4-ethyl-1,2-dimethylbenzene"	13629	-66.9
"3,3-dimethyl-2-benzofuran-1(3H)-one"	74317	70
Capecitabine	60953	115.5
"2-chloro-4,5-dimethylphenol"	70754	71
9h-fluoren-9-ol	74318	153.5
"2,5-dichloro-p-xylene"	70755	68
"2,4-dichloro-5-methylphenol"	70757	73
"diethyl 2,8-dioxo-1,2,3,4,6,7,8,9-octahydropyrido[3,2-g]quinoline-3,7-dicarboxylate"	2749376	242
2-phenylindole-3-carboxaldehyde	613305	251
"4,5-bis(di-tert-butylphosphino)-9,9-dimethylxanthene"	16218202	155
prednisolone 21-trimethylacetate	14202	233
"1,1'-biphenyl, 3-ethoxy-"	345919	35
"piperidine, 4,4'-(1,3-propanediyl)bis-"	85631	67.1
4'-bromo-2'-fluoroacetanilide	67593	156
"cyclopentane, 2-propenyl-"	77059	-110.7
"4,4,4-trifluoro-1-(2-furyl)-1,3-butanedione"	67594	21
4'-aminobenzanilide	87196	129
"hexanal, 3-ethoxy-, diethyl acetal"	7554	-100
"naphthalene, 1,7-dichloro-"	16310	63.5
"1,4-dibromo-2,5-difluorobenzene"	67596	62
"1-bromo-2,4,5-trifluorobenzene"	67597	-19
4-iodophenylhydrazine	704591	101
2-azacyclo-nonanone	13632	78
"1,5-difluoro-2,4-dinitrobenzene"	67598	73
"deet [n,n,-diet-3-me benzamide]"	4284	-45
dmamp	23435	19
"naphthalene, 1,8-dinitro-"	11764	173
2-hydroxyphenyl propyl ketone	76157	10
"2,3,5,6-tetrachlorophenol"	13636	115
methyl 3-bromo-4-methoxybenzoate	611662	97
2-hydroxybenzhydrazide	13637	148
4-ethylcatechol	70761	39
2-phenyl-2-imidazoline	13639	96.5
adenosine	60961	234.5
5-isoquinolinamine	70766	128
pentabromoethane	60967	56.5
2-acetamido-5-nitropyridine	345125	200
3-methylcholanthrene	1674	180
"methyl 3,4-dimethoxybenzoate"	16522	59
Enprofylline	1676	288
"cyclohexane, 1,1'-(1,5-pentanediyl)bis-"	143213	-13.6
"1,2-dichloro-1,2-difluoroethane"	33241	-101.2
"2,6-difluoro-4-iodophenol"	45790937	72
benazolin-ethyl	3034351	79.2
4-ethylacetophenone	13642	-20.6
2-amino-5-chlorobenzaldehyde	2773898	72
PCB-28	23448	58
"aniline, p-((p-nitrophenyl)thio)- (6ci,7ci,8ci)"	7566	144
"1,2-diaminonaphthalene"	13648	98.5
1-(5-chloro-thiophen-2-yl)-ethanone	80572	52
"2,6-di-tert-butyl-4-methylpyridine"	98898	33
rubiadin	124062	290
"2,3,4,5-Tetrachloroanisole"	13649	84
imazapyr	54738	171
"2,2-bis(4-methoxyphenyl)ethylamine"	7016418	48
imazaquin	54739	221
hfc-236fa (cf3ch2cf3)	12722	-94.2
dimethylborane	15879358	-72.5
"9,10-dioxo-9,10-dihydroanthracene-2-carboxylic a"	67030	291
ethyl_anisate	60979	7
"2-amino-3-methyl-1,1-diphenylbutan-1-ol"	3808242	92
"1-(1,2-dihydroacenaphthylen-5-yl)-2-phenylethanone"	233767	114
"androstane-3,17-diol, 17-benzoate"	2748115	194
"benzoylhydrazine, o-nitro"	3781218	124
"ethyl 4-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoyl)amino]benzoate"	2748501	136
2-chloropyridine-4-carboxamide	2800022	202
"heptanal, oxime"	69419	57.5
"2,4-dibromoanisole"	27011	62
hexaethyl tetraphosphate	12960	-40
dis. a. 18	5361513	307
bromanyl	68101	293
4-phenylpyridine	13651	77.5
Trimethoxysilane	17215	-115
2-ethylnaphthalene	13652	-7.35
milbemectin a3	57369723	213.5
"2,5-dimethyl-1,3-benzenediol"	68103	163
cefazolin	33255	190
milbemectin a4	53397745	213.5
2-fluorobenzotrichloride	68104	-20
"benzamide, 4-chloro-n-(2-methyl-2h-benzotriazol-"	6482213	229
"benzaldehyde, oxime, (z)-"	12143	36.5
2-allyl-4-chloro-phenol	84143	48
imazethapyr	54740	171
3-benzyloxybenzaldehyde	74342	56
"1,3-propanediol, 2-(hydroxymethyl)-2-methyl-"	6502	204
1h-2-benzopyran-1-one	68108	47
2-methylundecane	23459	-47
solassodine	5250	202
tris(2-thienyl)phosphine	90384	29
fluroxypyr-meptyl	54745	59
3-methyl-1-phenylpyrazole	70783	37
Cabergoline	54746	103
6-fluoro-2-methylquinoline	70784	54
"peroxide, diethyl"	61175	-70
sotalol	5253	206.75
2-bromothioanisole	22678289	-24
5-hydroxymethyl-2-furaldehyde	237332	34
adriamycin	1691	230
4-hydroxy-2-(trifluoromethyl)pyrimidine	243570	170
methyl pyrazine-2-carboxylate	72662	58
4-methoxybenzenesulfonamide	70789	112
"10,10-Dimethoxy-9-phenyl-9,10-dihydroanthracen-9-ol"	85867816	188.85
"Hexahydro-2a,4a,6a-triazacyclopenta[cd]pentalene"	10986308	-14.65
"1-(3,4-dimethoxy),2-dibenzoyl-1-tert-butylhydraz"	23276721	205.5
ethyl 2-chlorooxazole-4-carboxylate	2763184	98
N-benzyloxycarbonyl-D-proline	111208	77
"(3E)-1,7,7-trimethyl-3-(phenylmethylidene)bicyclo[2.2.1]heptan-2-one"	27021	97
"2,3,5-trifluorophenol"	2733311	29
17-methylandrost-16-en-3-one	3998245	141
4-chromanone	68110	38
aflatoxin b1	14403	268.5
aflatoxin b2	23648	287.5
"1,1,2,3,3-pentachloropropane"	27027	-10
5-hydroxyflavone	68112	158
N-phenylmaleimide	13662	89
1-acetylnaphthalene	13663	10
"1,2,3,4-tetrahydrocarbazole"	13664	119
"2,6-dibromo-4-n-propylaniline"	2774402	56
"2,6-diacetylpyridine"	70790	80
3-ethoxysalicylaldehyde	68117	67
"n,4-dinitrosomethylaniline"	60991	101
"2,2'-furil"	68119	164
2-chloro-6-methylbenzaldehyde	12467050	37
4'-tert-butylacetophenone	13669	18
"3-{[5-(3-nitrophenyl)furan-2-yl]methylidene}pentane-2,4-dione"	2302869	154
1-adamantanemethanol	64556	117
"diethyl 3,3-bis(4-hydroxy-3,5-dimethylphenyl)pentanedioate"	2748072	178
"1,1-dinitrocyclohexane"	165172	36
ethyl 5-amino-3-(methylsulfanyl)-1-(phenylacetyl)-1H-pyrazole-4-carboxylate	2755393	120
"3,5-dichlorosulfanilamide"	89607	207
4'-(4-bromophenyl)acetophenone	79806	126
spiroperidol	5265	191.8
"2-chloro-2',6'-dimethylacetanilide"	70798	148
spironolactone	5267	207.5
"(1S,5R)-2,2,4,4-tetrachloro-6-methyl-8-oxabicyclo[3.2.1]oct-6-en-3-one"	78292160	90
"s-triazine-2,4,6(1h,3h,5h)-trione, 1,3,5-triphen"	15695	285
5-benzoyl-4-hydroxy-2-methoxy-benzenesulfonic ac	19988	145
"2-[(2-ethylanilino)methyl]isoindoline-1,3-dione"	678999	104
"(13E,14aR,18aR,19E)-5,8,14a,15,16,17,18,18a-octahydrotribenzo[b,f,l][1,4,8,11]tetraazacyclotetradecine-6,7-dione"	78292161	224
"n,n,n',n'-tetrame ethylenediamine"	8037	-55
"(4aR,5E,20E,21aR)-1,2,3,4,4a,11,15,21a-octahydrotribenzo[d,h,l][1,3,7,10,14]oxatetraazacyclopentadecine-12,14-dione"	78292162	254
"3,6-Dibromo-9H-carbazole"	274874	212
"(3beta,4alpha,17xi,20xi)-4,14-dimethylcholesta-7,9(11)-dien-3-ol"	78292165	123
phenyl salicylate	8361	42
Hepadial	33270	149
diafenthiuron	3034380	146
"2,2'-bithiophene"	68120	33
nicotelline	68123	147.5
Rutin	46936193	125
o-bromocumene	23475	-59
"1,4,6,7-tetramethylnaphthalene"	3014782	64
methyl anthranilate	8635	24.5
naphthol as	66719	248.5
fluridone	43079	154.5
"3,4-dimethoxytoluene"	68126	27
diphenyl_sulfoxide	13679	70
m-aminobenzaldehyde	74366	30
1-(trimethylsilyl)imidazole	28925	-42
"(1S,2R)-10,2-camphorsultam"	854020	183
tert-butyldimethylchlorosilane	28928	88
hematoxylin	10603	140
"n-me carbamate,3-me-4-mes phenyl"	19106	117.5
4'-chloro-2'-hydroxyacetophenone	1051513	29
cyclocumarol	10606	166
Podofilox	10607	228
tri(2-furyl)phosphine	521585	62
desaspidin bb	8238	150
antazoline	2200	120
"1,8-dihydroxy-9(10h)-anthracenone"	2202	179
"4,4''-dinitro-p-terphenyl"	101423	278
4-(2-Hydroxy-5-nitro-benzylidene)-2-phenyl-4H-oxazol-5-one	830868	232
Antipyrine	2206	112.3
"methyl 1-bromo-1-deoxy-3,4,6-tris-O-[(4-methylphenyl)carbonyl]hex-2-ulofuranoside"	3859715	149
saytex bt 93	36183	445
5-bromo-2-iodopyrimidine	7006651	101
isosorbide dinitrate	6883	70
"cyclohexane, 1,1'-(1-methylethylidene)bis-"	143230	15.6
iodofenphos	28935	72.5
"benzenamine, n-(1-methylethyl)-"	13032	-10
3-aminobenzhydrazide	84178	92
5-chlorothiophene-2-sulfonamide	1241301	117
dimethazan	10612	95
2-bromo-4-iodopyridine	1051520	61
clomazone	54778	25
"2,4-dinitroresorcinol"	10613	147.5
triphenylmethane	10614	94
N-(Diphenylmethyl)formamide	3770569	135.85
gypsogenin	4483446	275
"n,n-diphenylacetamide"	10615	103
ambucetamide	10616	134
n-formylmorpholine	20417	21
"endo-n-hydroxy-5-norbornene-2,3-dicarboximide"	6541657	168
4-bromoresorcinol	81105	103
florantyrone	10617	208
"[(1E,5E)-6-Phenyl-1,5-hexadienyl]benzene"	576045	82
topanol ca	92905	186.5
"2,6-dipropyl-phenol"	81107	27
"Ethyl 1-oxo-6,7-bis(trifluoromethyl)-1H-isochromene-3-carboxylate"	14568419	192.85
"ethanone, 1-(4-hydroxy-3-methoxyphenyl)-"	2214	115
1-(4-methylphenoxy)silatrane	203008	188.5
apocynin	2214	114.5
"(5beta)-Androstane-3,17-dione"	440114	146.85
aprindine	2218	120.5
N-(2-chloroethyl)benzamide	101439	103
2-(2-Nitrophenyl)ethanol	27054	2
"benz[a]anthracene-7,12-dione"	17253	170
azacyclotridecan-2-one	13690	151.5
3-methylbenz(a)anthracene	17254	156.5
Indomethacin ethyl ester	27861	96
"2,5-cyclohexadiene-1,4-dione, 2,6-dimethyl"	68241	72.5
3-hydroxy-2-nitropyridine	27057	71
"cyclotetrasilazane, 2,2,4,4,6,6,8,8-octamethyl-"	66100	97.5
Diphenylsilanediol	13693	201.5
tetratetracontane	23494	87.5
9-phenanthrenamine	13695	138.3
